"TABLE_NAME","COLUMN_NAME","COLUMN_TYPE","IS_NULLABLE","COLUMN_DEFAULT","COLUMN_KEY","EXTRA"
"adressen","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"adressen","legacy_id","bigint(20) unsigned","YES","NULL",,
"adressen","legacy_mid","bigint(20) unsigned","YES","NULL","MUL",
"adressen","name","varchar(200)","NO",NULL,,
"adressen","strasse","varchar(255)","YES","NULL",,
"adressen","hausnummer","varchar(100)","YES","NULL",,
"adressen","plz","varchar(10)","YES","NULL",,
"adressen","wohnort","varchar(100)","YES","NULL",,
"adressen","provinz","varchar(4)","YES","NULL",,
"adressen","land","varchar(50)","YES","NULL",,
"adressen","telefon","varchar(50)","YES","NULL",,
"adressen","handy","varchar(50)","YES","NULL",,
"adressen","email","varchar(255)","YES","NULL",,
"adressen","email_zweit","varchar(255)","YES","NULL",,
"adressen","pec","varchar(255)","YES","NULL",,
"adressen","steuernummer","varchar(50)","YES","NULL",,
"adressen","mwst_nummer","varchar(50)","YES","NULL",,
"adressen","codice_univoco","varchar(20)","YES","NULL",,
"adressen","bemerkung","text","YES","NULL",,
"adressen","veraendert","tinyint(1)","NO","0",,
"adressen","veraendert_wann","timestamp","YES","NULL",,
"adressen","deleted_at","timestamp","YES","NULL",,
"adressen","created_at","timestamp","YES","NULL",,
"adressen","updated_at","timestamp","YES","NULL",,
"artikel_gebaeude","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"artikel_gebaeude","legacy_id","bigint(20) unsigned","YES","NULL",,
"artikel_gebaeude","legacy_mid","bigint(20) unsigned","YES","NULL","MUL",
"artikel_gebaeude","gebaeude_id","bigint(20) unsigned","NO",NULL,"MUL",
"artikel_gebaeude","beschreibung","varchar(255)","NO",NULL,,
"artikel_gebaeude","anzahl","decimal(10,2)","NO","1.00",,
"artikel_gebaeude","einzelpreis","decimal(10,2)","NO","0.00",,
"artikel_gebaeude","basis_jahr","year(4)","NO",NULL,,
"artikel_gebaeude","basis_preis","decimal(12,2)","NO",NULL,,
"artikel_gebaeude","aktiv","tinyint(1)","NO","1",,
"artikel_gebaeude","reihenfolge","int(10) unsigned","YES","NULL",,
"artikel_gebaeude","created_at","timestamp","YES","NULL",,
"artikel_gebaeude","updated_at","timestamp","YES","NULL",,
"fattura_profile","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"fattura_profile","bezeichnung","varchar(100)","NO",NULL,,
"fattura_profile","bemerkung","text","YES","NULL",,
"fattura_profile","split_payment","tinyint(1)","NO","0","MUL",
"fattura_profile","reverse_charge","tinyint(1)","NO","0",,
"fattura_profile","ritenuta","tinyint(1)","NO","0",,
"fattura_profile","mwst_satz","decimal(5,2)","NO","22.00",,
"fattura_profile","code","varchar(30)","YES","NULL","UNI",
"fattura_profile","created_at","timestamp","YES","NULL",,
"fattura_profile","updated_at","timestamp","YES","NULL",,
"fattura_profile","deleted_at","timestamp","YES","NULL",,
"fattura_xml_logs","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"fattura_xml_logs","rechnung_id","bigint(20) unsigned","NO",NULL,"MUL",
"fattura_xml_logs","progressivo_invio","varchar(50)","NO",NULL,"UNI",
"fattura_xml_logs","formato_trasmissione","varchar(10)","NO","'FPR12'",,
"fattura_xml_logs","codice_destinatario","varchar(7)","YES","NULL",,
"fattura_xml_logs","pec_destinatario","varchar(255)","YES","NULL",,
"fattura_xml_logs","xml_file_path","varchar(255)","YES","NULL",,
"fattura_xml_logs","xml_filename","varchar(255)","YES","NULL",,
"fattura_xml_logs","xml_file_size","int(10) unsigned","YES","NULL",,
"fattura_xml_logs","p7m_file_path","varchar(255)","YES","NULL",,
"fattura_xml_logs","p7m_filename","varchar(255)","YES","NULL",,
"fattura_xml_logs","xml_content","longtext","YES","NULL",,
"fattura_xml_logs","status","varchar(50)","NO","'pending'","MUL",
"fattura_xml_logs","status_detail","varchar(100)","YES","NULL",,
"fattura_xml_logs","sdi_status_code","varchar(10)","YES","NULL",,
"fattura_xml_logs","generated_at","timestamp","YES","NULL","MUL",
"fattura_xml_logs","signed_at","timestamp","YES","NULL",,
"fattura_xml_logs","sent_at","timestamp","YES","NULL","MUL",
"fattura_xml_logs","delivered_at","timestamp","YES","NULL",,
"fattura_xml_logs","finalized_at","timestamp","YES","NULL",,
"fattura_xml_logs","is_valid","tinyint(1)","NO","0",,
"fattura_xml_logs","validation_errors","longtext","YES","NULL",,
"fattura_xml_logs","error_message","text","YES","NULL",,
"fattura_xml_logs","error_details","text","YES","NULL",,
"fattura_xml_logs","retry_count","tinyint(3) unsigned","NO","0",,
"fattura_xml_logs","sdi_ricevuta","text","YES","NULL",,
"fattura_xml_logs","sdi_notifiche","longtext","YES","NULL",,
"fattura_xml_logs","sdi_last_message","text","YES","NULL",,
"fattura_xml_logs","sdi_last_check_at","timestamp","YES","NULL",,
"fattura_xml_logs","notizen","text","YES","NULL",,
"fattura_xml_logs","created_at","timestamp","YES","NULL",,
"fattura_xml_logs","updated_at","timestamp","YES","NULL",,
"gebaeude","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"gebaeude","legacy_id","bigint(20) unsigned","YES","NULL",,
"gebaeude","legacy_mid","bigint(20) unsigned","YES","NULL","MUL",
"gebaeude","codex","varchar(15)","YES","NULL",,
"gebaeude","postadresse_id","bigint(20) unsigned","YES","NULL","MUL",
"gebaeude","rechnungsempfaenger_id","bigint(20) unsigned","YES","NULL","MUL",
"gebaeude","gebaeude_name","varchar(100)","YES","NULL",,
"gebaeude","strasse","varchar(255)","YES","NULL",,
"gebaeude","hausnummer","varchar(100)","YES","NULL",,
"gebaeude","plz","varchar(50)","YES","NULL",,
"gebaeude","wohnort","varchar(100)","YES","NULL",,
"gebaeude","land","varchar(50)","YES","NULL",,
"gebaeude","bemerkung","text","YES","NULL",,
"gebaeude","bemerkung_buchhaltung","text","YES","NULL",,
"gebaeude","cup","varchar(20)","YES","NULL",,
"gebaeude","cig","varchar(10)","YES","NULL",,
"gebaeude","codice_commessa","varchar(100)","YES","NULL",,
"gebaeude","auftrag_id","varchar(50)","YES","NULL","MUL",
"gebaeude","auftrag_datum","date","YES","NULL",,
"gebaeude","fattura_profile_id","bigint(20) unsigned","YES","NULL","MUL",
"gebaeude","bank_match_text_template","text","YES","NULL",,
"gebaeude","veraendert","tinyint(1)","NO","0",,
"gebaeude","veraendert_wann","timestamp","YES","NULL",,
"gebaeude","letzter_termin","date","YES","NULL",,
"gebaeude","datum_faelligkeit","date","YES","NULL",,
"gebaeude","geplante_reinigungen","int(11)","NO","1",,
"gebaeude","gemachte_reinigungen","int(11)","NO","1",,
"gebaeude","faellig","tinyint(1)","NO","0",,
"gebaeude","rechnung_schreiben","tinyint(1)","NO","0",,
"gebaeude","m01","tinyint(1)","NO","0",,
"gebaeude","m02","tinyint(1)","NO","0",,
"gebaeude","m03","tinyint(1)","NO","0",,
"gebaeude","m04","tinyint(1)","NO","0",,
"gebaeude","m05","tinyint(1)","NO","0",,
"gebaeude","m06","tinyint(1)","NO","0",,
"gebaeude","m07","tinyint(1)","NO","0",,
"gebaeude","m08","tinyint(1)","NO","0",,
"gebaeude","m09","tinyint(1)","NO","0",,
"gebaeude","m10","tinyint(1)","NO","0",,
"gebaeude","m11","tinyint(1)","NO","0",,
"gebaeude","m12","tinyint(1)","NO","0",,
"gebaeude","select_tour","bigint(20) unsigned","YES","NULL",,
"gebaeude","deleted_at","timestamp","YES","NULL",,
"gebaeude","created_at","timestamp","YES","NULL",,
"gebaeude","updated_at","timestamp","YES","NULL",,
"gebaeude_aufschlaege","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"gebaeude_aufschlaege","gebaeude_id","bigint(20) unsigned","NO",NULL,"MUL",
"gebaeude_aufschlaege","prozent","decimal(5,2)","NO","0.00",,
"gebaeude_aufschlaege","grund","varchar(500)","YES","NULL",,
"gebaeude_aufschlaege","gueltig_ab","date","YES","NULL",,
"gebaeude_aufschlaege","gueltig_bis","date","YES","NULL",,
"gebaeude_aufschlaege","created_at","timestamp","YES","NULL",,
"gebaeude_aufschlaege","updated_at","timestamp","YES","NULL",,
"preis_aufschlaege","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"preis_aufschlaege","jahr","year(4)","NO",NULL,"MUL",
"preis_aufschlaege","prozent","decimal(5,2)","NO","0.00",,
"preis_aufschlaege","beschreibung","varchar(500)","YES","NULL",,
"preis_aufschlaege","created_at","timestamp","YES","NULL",,
"preis_aufschlaege","updated_at","timestamp","YES","NULL",,
"rechnungen","id","bigint(20) unsigned","NO",NULL,"PRI","auto_increment"
"rechnungen","legacy_id","bigint(20) unsigned","YES","NULL","MUL",
"rechnungen","legacy_progressivo","bigint(20) unsigned","YES","NULL",,
"rechnungen","jahr","year(4)","NO",NULL,"MUL",
"rechnungen","laufnummer","int(10) unsigned","NO",NULL,,
"rechnungen","gebaeude_id","bigint(20) unsigned","YES","NULL","MUL",
"rechnungen","rechnungsempfaenger_id","bigint(20) unsigned","YES","NULL","MUL",
"rechnungen","postadresse_id","bigint(20) unsigned","YES","NULL","MUL",
"rechnungen","fattura_profile_id","bigint(20) unsigned","YES","NULL","MUL",
"rechnungen","re_name","varchar(255)","YES","NULL",,
"rechnungen","re_strasse","varchar(255)","YES","NULL",,
"rechnungen","re_hausnummer","varchar(100)","YES","NULL",,
"rechnungen","re_plz","varchar(20)","YES","NULL",,
"rechnungen","re_wohnort","varchar(255)","YES","NULL",,
"rechnungen","re_provinz","varchar(10)","YES","NULL",,
"rechnungen","re_land","varchar(10)","YES","NULL",,
"rechnungen","re_steuernummer","varchar(50)","YES","NULL",,
"rechnungen","re_mwst_nummer","varchar(50)","YES","NULL",,
"rechnungen","re_codice_univoco","varchar(20)","YES","NULL",,
"rechnungen","re_pec","varchar(255)","YES","NULL",,
"rechnungen","post_name","varchar(255)","YES","NULL",,
"rechnungen","post_strasse","varchar(255)","YES","NULL",,
"rechnungen","post_hausnummer","varchar(100)","YES","NULL",,
"rechnungen","post_plz","varchar(20)","YES","NULL",,
"rechnungen","post_wohnort","varchar(255)","YES","NULL",,
"rechnungen","post_provinz","varchar(10)","YES","NULL",,
"rechnungen","post_land","varchar(10)","YES","NULL",,
"rechnungen","post_email","varchar(255)","YES","NULL",,
"rechnungen","post_pec","varchar(255)","YES","NULL",,
"rechnungen","geb_codex","varchar(50)","YES","NULL",,
"rechnungen","geb_name","varchar(255)","YES","NULL",,
